query_name,Config,Run,BigN_SampleSize,CHAOLEE_SampleSize,Nb_Total_Scans,Execution_time,cd
query_137,1,1,6762.0,225.0,10000,1307,267982
query_137,1,2,6721.0,226.0,10000,552,311743
query_137,1,3,6768.0,221.0,10000,557,242844
query_137,1,4,6774.0,225.0,10000,533,352737
query_137,1,5,6773.0,214.0,10000,489,349362
query_138,1,1,6646.0,257.0,10000,1345,415431
query_138,1,2,6612.0,256.0,10000,613,366227
query_138,1,3,6630.0,259.0,10000,552,344221
query_138,1,4,6630.0,262.0,10000,488,446906
query_138,1,5,6622.0,255.0,10000,505,471832
query_145,1,1,2278.0,1544.0,10001,2299,4943018
query_145,1,2,2241.0,1551.0,10001,1325,5056688
query_145,1,3,2305.0,1539.0,10005,1193,4875973
query_145,1,4,2292.0,1541.0,10002,1164,4905348
query_145,1,5,2286.0,1542.0,10003,1064,4928382
query_146,1,1,2784.0,2405.0,10001,2333,2784901
query_146,1,2,2779.0,2408.0,10003,1151,2811949
query_146,1,3,2749.0,2417.0,10000,984,2951301
query_146,1,4,2764.0,2412.0,10002,958,2926524
query_146,1,5,2752.0,2417.0,10003,980,2918907
query_147,1,1,2510.0,2497.0,10001,2414,4783903
query_147,1,2,2510.0,2497.0,10003,1463,4830258
query_147,1,3,2509.0,2497.0,10001,1153,4731123
query_147,1,4,2508.0,2498.0,10003,1035,4667050
query_147,1,5,2507.0,2497.0,10000,1103,4716802
query_150,1,1,2504.0,2499.0,10002,2318,5207487
query_150,1,2,2503.0,2500.0,10003,1275,5184690
query_150,1,3,2501.0,2500.0,10003,991,5072530
query_150,1,4,2502.0,2499.0,10002,924,5071164
query_150,1,5,2503.0,2499.0,10002,1000,5051869
query_151,1,1,1675.0,1664.0,10001,2535,5144470
query_151,1,2,1673.0,1665.0,10000,1429,4988866
query_151,1,3,1670.0,1666.0,10005,1238,5054930
query_151,1,4,1671.0,1666.0,10004,1318,5040185
query_151,1,5,1672.0,1666.0,10005,1274,5285281
query_168,1,1,3317.0,99.0,10000,1076,788238
query_168,1,2,3346.0,86.0,10002,503,664881
query_168,1,3,3302.0,89.0,10002,420,887897
query_168,1,4,3282.0,112.0,10001,422,572345
query_168,1,5,3308.0,98.0,10002,399,291975
query_224,1,1,1540.0,824.0,10006,2429,2
query_224,1,2,1545.0,824.0,10009,1711,2
query_224,1,3,1496.0,830.0,10005,1469,2
query_224,1,4,1538.0,825.0,10004,1282,2
query_224,1,5,1497.0,830.0,10003,1335,2
query_255,1,1,2546.0,2485.0,10001,2705,36387014
query_255,1,2,2542.0,2486.0,10001,1394,36473596
query_255,1,3,2555.0,2482.0,10001,1173,36215067
query_255,1,4,2546.0,2485.0,10002,1143,36401650
query_255,1,5,2543.0,2486.0,10001,1170,36444600
query_256,1,1,1751.0,1646.0,10001,2216,29800874
query_256,1,2,1744.0,1649.0,10005,1151,30011420
query_256,1,3,1745.0,1648.0,10001,864,29957854
query_256,1,4,1738.0,1649.0,10004,908,30115027
query_256,1,5,1751.0,1645.0,10001,910,29818935
query_288,1,1,1293.0,1235.0,10000,2207,84103
query_288,1,2,1293.0,1235.0,10000,1105,89348
query_288,1,3,1297.0,1234.0,10002,935,85898
query_288,1,4,1292.0,1235.0,10006,857,91785
query_288,1,5,1295.0,1233.0,10000,863,94628
query_349,1,1,2575.0,2475.0,10000,2170,12320298
query_349,1,2,2586.0,2472.0,10002,1149,12060262
query_349,1,3,2584.0,2472.0,10000,886,11845527
query_349,1,4,2572.0,2477.0,10003,917,11126681
query_349,1,5,2575.0,2475.0,10001,936,11441378
query_351,1,1,2524.0,2493.0,10003,2088,8202764
query_351,1,2,2536.0,2488.0,10001,1278,8146778
query_351,1,3,2523.0,2493.0,10002,953,8200938
query_351,1,4,2537.0,2488.0,10002,912,8126060
query_351,1,5,2526.0,2491.0,10001,909,8212394
query_352,1,1,6284.0,1130.0,10002,1559,9885574
query_352,1,2,6236.0,1156.0,10000,831,9381117
query_352,1,3,6241.0,1157.0,10000,597,8220001
query_352,1,4,6271.0,1144.0,10002,531,9892310
query_352,1,5,6215.0,1152.0,10000,512,8985478
query_391,1,1,2569.0,2477.0,10002,4879,3359665
query_391,1,2,2560.0,2480.0,10000,2947,3458662
query_391,1,3,2556.0,2482.0,10002,2270,3410144
query_391,1,4,2563.0,2479.0,10001,1869,3402325
query_391,1,5,2564.0,2479.0,10001,1660,3429836
query_407,1,1,9864.0,44.0,10000,1208,424094
query_407,1,2,9897.0,34.0,10000,557,568204
query_407,1,3,9820.0,59.0,10000,544,669453
query_407,1,4,9815.0,60.0,10000,492,2263539
query_407,1,5,9818.0,60.0,10000,472,5988172
query_469,1,1,2501.0,2499.0,10000,2423,7303336
query_469,1,2,2500.0,2500.0,10000,1143,7303374
query_469,1,3,2501.0,2500.0,10002,1088,7300458
query_469,1,4,2501.0,2500.0,10002,1054,7300458
query_469,1,5,2500.0,2500.0,10000,1046,7306278
query_512,1,1,1254.0,1249.0,10002,2115,2884119
query_512,1,2,1254.0,1249.0,10004,1101,3056130
query_512,1,3,1252.0,1250.0,10004,975,2890469
query_512,1,4,1250.0,1250.0,10000,893,3003182
query_512,1,5,1253.0,1250.0,10006,897,2953550
query_520,1,1,2512.0,2496.0,10000,2538,34629302
query_520,1,2,2509.0,2498.0,10003,1470,34684621
query_520,1,3,2509.0,2497.0,10000,1167,34670725
query_520,1,4,2510.0,2497.0,10001,1139,34684671
query_520,1,5,2511.0,2497.0,10002,1213,34656978
query_545,1,1,2500.0,2500.0,10000,3021,37280216
query_545,1,2,2501.0,2500.0,10002,1897,37280216
query_545,1,3,2500.0,2500.0,10000,1752,37280216
query_545,1,4,2501.0,2500.0,10002,1597,37280216
query_545,1,5,2500.0,2500.0,10000,1691,37280216
query_547,1,1,2634.0,2453.0,10001,2645,460466
query_547,1,2,2645.0,2450.0,10002,1418,446590
query_547,1,3,2644.0,2448.0,10002,1105,408074
query_547,1,4,2627.0,2456.0,10001,940,481283
query_547,1,5,2640.0,2451.0,10003,1067,508675
query_548,1,1,2613.0,2462.0,10000,2477,2464109
query_548,1,2,2642.0,2453.0,10002,1536,2353715
query_548,1,3,2653.0,2448.0,10002,1344,2125196
query_548,1,4,2627.0,2458.0,10002,1079,2495749
query_548,1,5,2634.0,2455.0,10000,1241,4021203
query_595,1,1,2506.0,2499.0,10003,2570,5038940
query_595,1,2,2506.0,2498.0,10000,1333,5044700
query_595,1,3,2506.0,2498.0,10000,1304,5019320
query_595,1,4,2508.0,2497.0,10002,1137,5019266
query_595,1,5,2507.0,2498.0,10001,1268,5015377
query_613,1,1,6112.0,1296.0,10000,2063,3832482
query_613,1,2,6133.0,1289.0,10001,1159,3439650
query_613,1,3,6048.0,1317.0,10000,1151,4543753
query_613,1,4,6077.0,1308.0,10002,893,4333617
query_613,1,5,6265.0,1245.0,10000,968,4568616
query_629,1,1,2501.0,2500.0,10002,2314,9181486
query_629,1,2,2500.0,2500.0,10000,1350,9181487
query_629,1,3,2500.0,2500.0,10000,1077,9181487
query_629,1,4,2500.0,2500.0,10000,1038,9181487
query_629,1,5,2500.0,2500.0,10000,975,9181487
query_632,1,1,2563.0,2479.0,10000,2241,8010007
query_632,1,2,2557.0,2481.0,10000,1281,8039737
query_632,1,3,2569.0,2478.0,10003,954,7968986
query_632,1,4,2555.0,2482.0,10002,871,8023162
query_632,1,5,2573.0,2476.0,10001,978,8002678
query_633,1,1,2500.0,2500.0,10000,2220,31943862
query_633,1,2,2500.0,2500.0,10000,1265,31943862
query_633,1,3,2500.0,2500.0,10000,999,31920639
query_633,1,4,2500.0,2500.0,10000,991,31943862
query_633,1,5,2501.0,2500.0,10002,1039,31954560
query_637,1,1,9996.0,0.0,10000,877,0
query_637,1,2,9996.0,0.0,10000,444,0
query_637,1,3,9995.0,0.0,10000,342,0
query_637,1,4,9993.0,0.0,10000,338,0
query_637,1,5,9993.0,0.0,10000,339,0
query_638,1,1,1596.0,848.0,10004,1559,5
query_638,1,2,1593.0,855.0,10002,694,6
query_638,1,3,1599.0,857.0,10004,701,6
query_638,1,4,1580.0,870.0,10002,522,6
query_638,1,5,1609.0,848.0,10002,521,6
query_137,2,1,67899.0,2109.0,100000,5677,299755
query_137,2,2,67903.0,2129.0,100001,4293,288165
query_137,2,3,67907.0,2113.0,100000,4163,291178
query_137,2,4,67585.0,2151.0,100001,4459,307203
query_137,2,5,67739.0,2167.0,100000,4286,309968
query_138,2,1,66541.0,2470.0,100000,6099,391132
query_138,2,2,66590.0,2468.0,100001,4494,370871
query_138,2,3,66512.0,2479.0,100000,4642,370071
query_138,2,4,66315.0,2486.0,100001,4407,403015
query_138,2,5,66501.0,2492.0,100000,4406,392174
query_145,2,1,22764.0,15433.0,100000,10612,4955406
query_145,2,2,22770.0,15429.0,100004,9690,4953959
query_145,2,3,22681.0,15447.0,100002,9483,4980089
query_145,2,4,22823.0,15416.0,100004,9536,4942155
query_145,2,5,22628.0,15454.0,100004,9320,4994671
query_146,2,1,27634.0,24092.0,100000,9874,2904615
query_146,2,2,27673.0,24081.0,100003,8352,2938458
query_146,2,3,27619.0,24100.0,100001,8346,2910821
query_146,2,4,27633.0,24094.0,100002,8769,2940782
query_146,2,5,27723.0,24062.0,100002,8939,2926337
query_147,2,1,25101.0,24942.0,100002,12685,4796328
query_147,2,2,25104.0,24947.0,100000,10579,4778818
query_147,2,3,25095.0,24950.0,100002,9758,4784975
query_147,2,4,25088.0,24950.0,100001,9718,4756876
query_147,2,5,25092.0,24947.0,100002,10271,4810241
query_150,2,1,25064.0,24950.0,100000,10906,5133445
query_150,2,2,25039.0,24969.0,100001,9244,5113174
query_150,2,3,25059.0,24951.0,100000,8905,5111517
query_150,2,4,25050.0,24959.0,100002,9287,5068764
query_150,2,5,25060.0,24957.0,100003,9419,5076715
query_151,2,1,16739.0,16633.0,100003,11888,5114547
query_151,2,2,16736.0,16635.0,100000,11336,5082068
query_151,2,3,16733.0,16637.0,100003,11663,5059546
query_151,2,4,16744.0,16630.0,100003,11610,5055342
query_151,2,5,16736.0,16633.0,100000,11751,5042643
query_168,2,1,33145.0,942.0,100000,4889,657769
query_168,2,2,33096.0,972.0,100002,3494,677077
query_168,2,3,33126.0,972.0,100007,3537,595214
query_168,2,4,33142.0,968.0,100000,3529,644113
query_168,2,5,33063.0,988.0,100002,3483,471902
query_224,2,1,15544.0,8129.0,100001,11408,2
query_224,2,2,15505.0,8134.0,100004,12055,2
query_224,2,3,15338.0,8145.0,100000,11960,2
query_224,2,4,15353.0,8153.0,100007,11816,2
query_224,2,5,15368.0,8158.0,100008,11507,2
query_255,2,1,25455.0,24846.0,100003,12617,36402938
query_255,2,2,25523.0,24824.0,100002,10622,36269439
query_255,2,3,25508.0,24828.0,100002,10522,36300996
query_255,2,4,25505.0,24830.0,100003,11349,36305269
