query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
Q-10122_v2,1,3,4877.0,151.0,451.0,156.0,295.0,1903069.775886816,10000,569,670
Q-10122_v2,1,4,4756.0,169.0,495.0,187.0,308.0,1951812.085155593,10000,547,773
Q-10122_v2,1,5,4906.0,152.0,453.0,162.0,291.0,1786520.060130453,10002,519,693
Q-10025_v2,1,1,8555.0,3.0,21.0,3.0,18.0,272126.4196376388,10000,3184,4
Q-10025_v2,1,2,8629.0,3.0,21.0,3.0,18.0,560620.1080078805,10000,417,6
Q-10025_v2,1,3,8686.0,3.0,21.0,3.0,18.0,117440.23946580704,10000,406,3
Q-10025_v2,1,4,8691.0,0.0,0.0,0.0,0.0,0.0,10000,302,0
Q-10025_v2,1,5,8660.0,0.0,0.0,0.0,0.0,0.0,10000,293,0
C6_role1_s,1,1,2500.0,2500.0,5000.0,5000.0,0.0,2840034.8688,10000,1989,31173
C6_role1_s,1,2,2500.0,2500.0,5000.0,5000.0,0.0,2690429.4072,10000,1001,31173
C6_role1_s,1,3,2500.0,2500.0,5000.0,5000.0,0.0,2670266.7108,10000,819,31173
C6_role1_s,1,4,2500.0,2500.0,5000.0,5000.0,0.0,2748486.0024,10000,788,31173
C6_role1_s,1,5,2500.0,2500.0,5000.0,5000.0,0.0,2693821.0296,10000,734,31173
c6_pc5_s,1,1,2500.0,2500.0,5000.0,5000.0,0.0,31432.184,10000,2400,1687
c6_pc5_s,1,2,2500.0,2500.0,5000.0,5000.0,0.0,31127.8492,10000,1157,1687
c6_pc5_s,1,3,2500.0,2500.0,5000.0,5000.0,0.0,31365.3788,10000,1079,1687
c6_pc5_s,1,4,2500.0,2500.0,5000.0,5000.0,0.0,31371.452,10000,962,1687
c6_pc5_s,1,5,2500.0,2500.0,5000.0,5000.0,0.0,31642.7216,10000,948,1687
c6_pc12_o,1,1,2479.0,2479.0,6278.0,3723.0,2555.0,30526.062121823317,10001,2389,13858
c6_pc12_o,1,2,2482.0,2482.0,6297.0,3706.0,2591.0,31176.460515713134,10003,1096,13934
c6_pc12_o,1,3,2483.0,2483.0,6271.0,3732.0,2539.0,31635.239226741844,10003,976,14904
c6_pc12_o,1,4,2481.0,2481.0,6288.0,3714.0,2574.0,30329.733575171304,10002,985,13488
c6_pc12_o,1,5,2479.0,2479.0,6310.0,3692.0,2618.0,30898.078660750303,10002,986,13576
c6_pc9_s,1,1,2500.0,2500.0,5000.0,5000.0,0.0,30582.3852,10000,2135,1719
c6_pc9_s,1,2,2500.0,2500.0,5000.0,5000.0,0.0,30650.4576,10000,859,1719
c6_pc9_s,1,3,2500.0,2500.0,5000.0,5000.0,0.0,29234.0016,10000,883,1719
c6_pc9_s,1,4,2500.0,2500.0,5000.0,5000.0,0.0,29669.2524,10000,753,1719
c6_pc9_s,1,5,2500.0,2500.0,5000.0,5000.0,0.0,29977.9848,10000,694,1719
c6_pc10_o,1,1,2478.0,2478.0,6266.0,3735.0,2531.0,30683.81920903955,10001,2497,14444
c6_pc10_o,1,2,2477.0,2477.0,6256.0,3744.0,2512.0,30468.592248687928,10000,1171,14247
c6_pc10_o,1,3,2482.0,2482.0,6236.0,3767.0,2469.0,30953.19621273167,10003,1201,14758
c6_pc10_o,1,4,2477.0,2477.0,6194.0,3807.0,2387.0,32124.03148970529,10001,960,16044
c6_pc10_o,1,5,2482.0,2482.0,6269.0,3734.0,2535.0,30434.84931506849,10003,889,13994
Q-10020_v4,1,1,4826.0,94.0,439.0,100.0,339.0,4347977.161417323,10000,1204,692
Q-10020_v4,1,2,4913.0,84.0,394.0,88.0,306.0,4139718.4634642783,10001,411,624
Q-10020_v4,1,3,4592.0,132.0,623.0,135.0,488.0,9601258.25152439,10000,442,1042
Q-10020_v4,1,4,4922.0,93.0,444.0,97.0,347.0,4982453.207639171,10000,364,664
Q-10020_v4,1,5,4736.0,109.0,512.0,112.0,400.0,9183770.547508446,10000,370,844
c6_role0_o,1,1,2377.0,2377.0,5636.0,4367.0,1269.0,5230486.21792175,10003,2204,390690
c6_role0_o,1,2,2394.0,2394.0,5641.0,4362.0,1279.0,5167090.8320802,10003,1091,370389
c6_role0_o,1,3,2374.0,2374.0,5644.0,4356.0,1288.0,5201385.090985678,10000,919,390371
c6_role0_o,1,4,2374.0,2374.0,5618.0,4385.0,1233.0,5275227.00758214,10003,819,392093
c6_role0_o,1,5,2382.0,2382.0,5676.0,4326.0,1350.0,5260488.255667507,10002,908,378212
c6_pc11_o,1,1,2480.0,2480.0,6216.0,3787.0,2429.0,31044.154838709677,10003,2376,14909
c6_pc11_o,1,2,2481.0,2481.0,6242.0,3759.0,2483.0,30954.851269649334,10001,1097,14717
c6_pc11_o,1,3,2478.0,2478.0,6263.0,3740.0,2523.0,31801.30750605327,10003,931,14528
c6_pc11_o,1,4,2478.0,2478.0,6245.0,3755.0,2490.0,32359.905569007264,10000,893,15420
c6_pc11_o,1,5,2478.0,2478.0,6229.0,3773.0,2456.0,31399.198547215496,10002,989,15007
c6_pc3_s,1,1,2500.0,2500.0,5000.0,5000.0,0.0,36812.5464,10000,2384,1659
c6_pc3_s,1,2,2500.0,2500.0,5000.0,5000.0,0.0,36038.1252,10000,855,1659
c6_pc3_s,1,3,2500.0,2500.0,5000.0,5000.0,0.0,37172.2176,10000,947,1659
c6_pc3_s,1,4,2500.0,2500.0,5000.0,5000.0,0.0,36721.6332,10000,1080,1659
c6_pc3_s,1,5,2500.0,2500.0,5000.0,5000.0,0.0,36810.5556,10000,1394,1659
SPO_s,1,1,5000.0,5000.0,10000.0,10000.0,0.0,1.0916931E7,10000,1006,509115
SPO_s,1,2,5000.0,5000.0,10000.0,10000.0,0.0,1.0916931E7,10000,297,555978
SPO_s,1,3,5000.0,5000.0,10000.0,10000.0,0.0,1.0916931E7,10000,283,527913
SPO_s,1,4,5000.0,5000.0,10000.0,10000.0,0.0,1.0916931E7,10000,282,539855
SPO_s,1,5,5000.0,5000.0,10000.0,10000.0,0.0,1.0916931E7,10000,236,524615
c6_role0_s,1,1,2500.0,2500.0,5000.0,5000.0,0.0,5248022.4996,10000,2093,58629
c6_role0_s,1,2,2500.0,2500.0,5000.0,5000.0,0.0,5145961.1364,10000,874,58629
c6_role0_s,1,3,2500.0,2500.0,5000.0,5000.0,0.0,5315398.9464,10000,819,58629
c6_role0_s,1,4,2500.0,2500.0,5000.0,5000.0,0.0,5299404.9552,10000,794,58629
c6_role0_s,1,5,2500.0,2500.0,5000.0,5000.0,0.0,5257919.0748,10000,880,58629
C6_role1_o,1,1,2394.0,2394.0,6255.0,3745.0,2510.0,2743549.5325814537,10000,2170,154862
C6_role1_o,1,2,2383.0,2383.0,6249.0,3754.0,2495.0,2741130.974402014,10003,1050,143232
C6_role1_o,1,3,2392.0,2392.0,6258.0,3744.0,2514.0,2691473.170986622,10002,883,158982
