query_name,Execution_time_1,Execution_time_2,Execution_time_3,Execution_time_4,Execution_time_5,Execution_time_6,Execution_time_7,Execution_time_8,Execution_time_9,cd_1,cd_2,cd_3,cd_4,cd_5,cd_6,cd_7,cd_8,cd_9,triple_count,?var,CD_GT,CA,RE_cd_1,RE_cd_2,RE_cd_3,RE_cd_4,RE_cd_5,RE_cd_6,RE_cd_7,RE_cd_8,RE_cd_9
query_137,687.6,4575.6,41701.6,526.6,3337.6,30851.0,344.2,2057.6,19453.8,304933.6,299253.8,284733.0,298636.2,305143.0,284465.6,411294.8,316522.6,296090.0,4,?x1,223432,9468982,36.47713845823336,33.93506749257044,27.436087937269505,33.6586522968957,36.57085824769952,27.31640946686239,84.0805256185327,41.66395144831536,32.51906620358767
query_138,700.6,4809.6,40923.0,535.2,3477.0,30961.4,333.8,2108.8,18507.8,408923.4,385452.6,362547.6,426326.2,392063.8,366628.0,340987.4,355243.2,360857.2,4,?x1,279051,11966170,46.54073986475591,38.12980422933441,29.92162722943117,52.77716259751802,40.498976889529146,31.38386889851676,22.195369305252452,27.304041196770484,29.315859824906564
query_145,1409.0,9728.2,96217.6,564.2,3407.6,37916.4,339.8,2214.8,19470.4,4941881.8,4965256.0,4969286.8,5163873.0,4973390.4,4956740.4,4770244.6,4849618.0,4955463.6,3,?x1,4969877,7011884,0.5632976429799004,0.09298016832207316,0.01187554541088615,3.9034366444078996,0.07069390248491808,0.2643244490758952,4.016847901869611,2.419758074495606,0.290015225728934
query_146,1281.2,8856.0,87600.4,543.2,3550.6,31009.4,329.2,2136.2,17829.6,2878716.4,2924202.6,2947163.8,2850014.2,2925820.0,2920439.0,3033984.8,2915984.8,2916578.2,2,?x1,3286102,5523263,12.397229300855546,11.013030027674123,10.31429334816753,13.270671452072996,10.963810618173142,11.127560860861896,7.672226851144615,11.26310747505708,11.245049605885631
query_147,1433.6,10602.2,103390.2,603.6,3742.8,33769.0,331.6,2156.4,19122.6,4745827.2,4785447.6,4844846.6,4869985.0,4769663.4,4793991.0,4826293.6,4882858.6,4773206.0,2,?x1,6446811,8501245,26.384887039499063,25.77031341542354,24.848943144137472,24.459007717148832,26.015150746624954,25.637792080456524,25.136728841593158,24.259318289306144,25.96019954672163
query_150,1301.6,9552.2,92246.0,559.0,3375.6,29320.4,317.2,2009.6,16968.8,5117548.0,5100723.0,5145433.6,5113919.2,5073005.0,5095599.6,4851724.0,5049968.8,5106246.4,2,?x1,6465182,15906835,20.844486667196684,21.104726827489156,20.413167022985593,20.900615017489063,21.533454123951962,21.183972856448595,24.956111057662415,21.889765825617904,21.019293811063626
query_151,1558.8,11649.6,95688.6,601.4,3406.6,35168.4,325.4,2040.6,17639.4,5102746.4,5070829.2,5108951.0,5063680.2,5065592.2,5094730.8,5423276.8,4941262.4,5058405.2,3,?x1,6443894,15860639,20.81268872517145,21.307997927960947,20.716402225114194,21.41894016257871,21.38926866270612,20.93707934984654,15.83851627602813,23.318688979055207,21.500800602865283
query_168,564.0,3786.4,33889.2,537.2,3206.2,30141.8,342.6,2163.4,19011.2,641067.2,609215.0,563327.4,773825.8,638178.2,572766.4,841339.4,541940.8,581559.2,4,?x1,435402,16893224,47.23570401605871,39.92011979733671,29.38098584756157,77.72674447981407,46.572179273407095,31.548867483383177,93.23278257793947,24.469065369474656,33.568334550599204
query_224,1645.2,11749.2,93186.2,658.0,4612.4,50594.2,410.0,2498.8,22920.8,2.0,2.0,2.0,11.0,12.6,12.0,281.4,144.4,118.6,5,?x4,2260707,18712619,99.99991153210036,99.99991153210036,99.99991153210036,99.99951342655196,99.99944265223223,99.99946919260213,99.98755256652012,99.99361261764572,99.99475385355112
query_255,1517.0,11439.4,104821.2,610.2,3768.0,35483.8,346.4,2244.6,19579.0,36384385.4,36319338.4,36333719.2,36354229.8,36387613.2,36350099.0,36841625.0,36359839.8,36337800.2,2,?x1,36333175,36355364,0.14094666926300414,0.0380825512771771,0.0014978046922763568,0.057949243356786244,0.14983056118823357,0.046580019500084974,1.3994097680700903,0.07338967761555938,0.012729963731501528
query_256,1209.8,8658.0,83583.2,526.6,3524.0,29304.0,324.6,2201.0,19147.2,29940822.0,29957732.8,29958467.6,30094705.8,29916790.4,29959916.0,29966670.0,29627826.2,29856742.2,3,?x1,29954929,29977745,0.04709408591821399,0.009360062245518075,0.011813080912331624,0.4666237065692953,0.127319947912417,0.01664834525229554,0.03919555275861278,1.091983225865769,0.3277817817561869
query_288,1193.4,8341.4,67807.6,496.4,2990.8,31493.8,323.2,1982.6,18512.8,89152.4,95167.0,167582.4,87455.2,86362.2,101727.6,122317.6,96555.2,88319.8,4,?x1,512028,5886774,82.58837407329285,81.41371175013866,67.27085237526073,82.91984032123243,83.13330520987134,80.13241463357474,76.111150171475,81.1425937644035,82.75098236815175
query_349,1211.6,10441.8,83531.0,536.0,3402.4,28624.2,320.8,2127.8,19060.6,11758829.2,11639439.4,11934709.0,11743666.2,11640619.4,11682804.2,12294752.6,11705696.0,11916295.4,2,?x1,13210064,14699166,10.985827169346043,11.889606288054317,9.654419539526833,11.100610867593078,11.880673704533146,11.561335357648538,6.928894515575401,11.388044751335043,9.793810234378878
query_351,1228.0,9079.2,88488.8,500.2,3445.6,28963.0,344.4,2137.6,18542.8,8177786.8,8192950.0,8185935.2,8166251.2,8183821.0,8174102.8,8228732.0,8232208.0,8182104.6,2,?x1,8366814,8552531,2.2592494586350336,2.0780191838852877,2.161859938562036,2.397122727958334,2.1871288162973386,2.3032805557766696,1.6503534081192675,1.6088083229769419,2.207643196083962
query_352,806.0,4641.4,44323.6,534.4,2954.8,27680.2,307.8,1892.2,16609.8,9272896.0,9617419.8,10290240.2,8230619.6,9807640.8,10211089.4,9927065.4,9936218.4,9477065.0,2,?x1,13718466,17110269,32.40573690965156,29.894349703530988,24.989862569182304,40.003353144586285,28.507744233210907,25.566827952921262,27.637205209387112,27.57048492156484,30.917458263919595
query_391,2725.0,9322.2,87461.6,1326.2,3960.8,30851.2,303.0,2287.0,17669.0,3412126.4,3404476.6,3448576.2,3500703.6,3402480.4,3409998.6,3349844.6,3497312.4,3411615.0,2,?x1,3648766,4188680,6.48546933401594,6.695123776093066,5.486506945087732,4.057876005202853,6.749832683159187,6.543784939894745,8.192397100828058,4.150817015944571,6.4994850313777315
query_407,654.6,4097.2,38254.2,636.6,4060.6,33901.2,473.4,3164.4,27748.8,1982692.4,6824189.0,38270713.8,2234262.2,8291811.4,43750386.2,1411782.8,5751547.2,44696469.2,2,?x3,66053832,70135159,96.99836884558037,89.66874624321568,42.06132688865046,96.61751312172169,87.44688816842601,33.76555927898324,97.86267842870949,91.29263658768501,32.33326841658482
query_469,1350.8,9394.4,84726.8,529.8,3602.2,31240.6,330.8,2094.0,18840.8,7302780.8,7302691.2,7303735.0,7303128.8,7300530.8,7303548.2,7306278.0,7303384.4,7303915.2,2,?x1,7304929,7369922,0.02940754112737011,0.030634110201479218,0.016345128063530803,0.024643634455587267,0.06020866185010404,0.01890230555286456,0.018466983046652473,0.02114462714147704,0.013878300528311963
query_512,1196.2,8627.8,77358.2,549.8,2971.4,29986.4,319.4,2053.8,18970.8,2957490.0,2982599.6,3002036.2,3028263.0,2955644.2,2988560.6,3424324.0,3079315.2,2975422.6,4,?x1,3780495,4792183,21.769768244634633,21.105580089379828,20.591451648527503,19.897711807580755,21.818592538807742,20.94790232496009,9.421279488532585,18.547301345458724,21.29542295387244
query_520,1505.4,11432.2,105366.6,606.8,3804.8,34156.4,334.2,2175.8,18743.6,34665259.4,34683790.4,34686848.6,34727889.8,34704845.8,34689102.2,34591795.2,34669638.6,34657914.2,2,?x1,34696192,34704348,0.08915272315763496,0.035743403771807264,0.026929180009144835,0.09135815250272139,0.02494164201073426,0.0204339427220054,0.30088835109050877,0.07653116514918556,0.11032276971489269
query_545,1991.6,14966.0,105806.6,961.8,4233.8,56545.6,346.2,2499.8,21378.4,37280216.0,37280216.0,37280216.0,37280216.0,37280216.0,37280216.0,37280216.0,37280216.0,37280216.0,2,?x1,37280216,37280216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_547,1435.0,11270.6,102629.4,595.6,3899.2,37688.4,361.6,2340.8,20232.0,461017.6,555998.4,1802654.0,453117.4,458316.6,680328.6,415404.8,405796.4,460897.2,2,?x1,9735877,19667920,95.26475529631281,94.2891801118687,81.4844209720398,95.34590052852968,95.29249804614417,93.01214877714663,95.73325751753026,95.83194816450536,95.26599195943007
