query_name,Config,Run,BigN_SampleSize,CHAOLEE_SampleSize,Nb_Total_Scans,Execution_time,cd
c6_pc5_o,3,5,484617.0,15355.0,1000000,16803,3257
c6_pc9_o,3,5,485400.0,14565.0,1000001,16956,3009
Q-10078_v4,4,5,3548.0,41.0,10003,321,2289
c6_pc3_o,4,5,556.0,444.0,10002,477,728
c6_pc11_s,4,5,520.0,448.0,10000,463,1659
c6_role2_o,4,5,489.0,448.0,10012,459,10867
c6_pc14_s,4,5,499.0,451.0,10018,413,2575
c6_role2_s,4,5,457.0,455.0,10014,363,21338
Q-10082_v4,4,5,3751.0,36.0,10000,395,2022
Q-10122_v3,4,5,2576.0,72.0,10000,279,1028
Q-1003_v2,4,5,5420.0,46.0,10068,329,379
c6_pc14_o,4,5,602.0,439.0,10001,475,930
Q-10122_v2,4,5,2558.0,70.0,10000,259,1769
Q-10025_v2,4,5,8660.0,0.0,10000,194,0
C6_role1_s,4,5,459.0,455.0,10018,338,31163
c6_pc5_s,4,5,523.0,448.0,10006,343,1708
c6_pc12_o,4,5,607.0,439.0,10008,372,698
c6_pc9_s,4,5,512.0,449.0,10004,371,1738
c6_pc10_o,4,5,614.0,438.0,10000,405,700
Q-10020_v4,4,5,2491.0,65.0,10066,374,6157
c6_role0_o,4,5,476.0,447.0,10021,421,16241
c6_pc11_o,4,5,625.0,437.0,10004,634,621
c6_pc3_s,4,5,522.0,448.0,10004,384,1665
SPO_s,4,5,911.0,909.0,10001,165,91983
c6_role0_s,4,5,455.0,455.0,10010,309,58629
C6_role1_o,4,5,493.0,446.0,10006,435,11012
SPO_o,4,5,960.0,905.0,10010,158,14203
c6_pc10_s,4,5,527.0,448.0,10014,314,1676
c6_pc12_s,4,5,518.0,449.0,10016,377,1704
Q-10169_v2,4,5,4896.0,52.0,10000,350,393
c6_pc5_o,4,5,619.0,438.0,10017,496,651
c6_pc9_o,4,5,668.0,433.0,10008,542,620
Q-10078_v4,5,5,35801.0,403.0,100042,2693,2718
c6_pc3_o,5,5,8774.0,4120.0,100001,2750,3114
c6_pc11_s,5,5,33140.0,1686.0,100000,1803,1684
c6_role2_o,5,5,5058.0,4460.0,100000,3602,44903
c6_pc14_s,5,5,24150.0,2585.0,100000,2097,2592
c6_role2_s,5,5,5046.0,4496.0,100012,2329,21298
Q-10082_v4,5,5,39936.0,311.0,100048,2181,1445
Q-10122_v3,5,5,24405.0,740.0,100000,2315,1084
Q-1003_v2,5,5,55950.0,430.0,100075,2571,343
c6_pc14_o,5,5,11170.0,3881.0,100014,2822,4072
Q-10122_v2,5,5,24051.0,726.0,100000,2277,1921
Q-10025_v2,5,5,84465.0,22.0,100000,1781,27
C6_role1_s,5,5,4855.0,4515.0,100010,2760,31099
c6_pc5_s,5,5,33130.0,1687.0,100000,1789,1689
c6_pc12_o,5,5,11859.0,3813.0,100013,2495,3203
c6_pc9_s,5,5,32810.0,1719.0,100000,2180,1725
c6_pc10_o,5,5,11762.0,3821.0,100000,2468,3204
Q-10020_v4,5,5,28618.0,568.0,100005,2469,4715
c6_role0_o,5,5,4938.0,4437.0,100000,3470,57440
c6_pc11_o,5,5,11699.0,3829.0,100016,2448,3256
c6_pc3_s,5,5,33410.0,1659.0,100000,1798,1661
SPO_s,5,5,9544.0,9046.0,100004,1265,96872
c6_role0_s,5,5,4719.0,4529.0,100018,2566,58679
C6_role1_o,5,5,4981.0,4454.0,100002,3862,51111
SPO_o,5,5,9998.0,9001.0,100008,1426,61401
c6_pc10_s,5,5,33270.0,1673.0,100000,1760,1658
c6_pc12_s,5,5,32890.0,1711.0,100000,1869,1715
Q-10169_v2,5,5,49919.0,507.0,100000,2352,403
c6_pc5_o,5,5,11582.0,3840.0,100004,2673,3338
c6_pc9_o,5,5,11729.0,3825.0,100000,2626,3293
Q-10078_v4,6,5,393988.0,3200.0,1000004,20413,2372
c6_pc3_o,6,5,303788.0,19612.0,1000001,19153,9670
c6_pc11_s,6,5,483140.0,1686.0,1000000,10597,1689
c6_role2_o,6,5,63072.0,43359.0,1000000,33445,83535
c6_pc14_s,6,5,474140.0,2586.0,1000000,11895,2587
c6_role2_s,6,5,287320.0,21268.0,1000000,18551,21287
Q-10082_v4,6,5,433106.0,2312.0,1000000,18987,1534
Q-10122_v3,6,5,356871.0,5165.0,1000000,23753,1158
Q-1003_v2,6,5,591576.0,3831.0,1000018,19702,355
c6_pc14_o,6,5,289835.0,21011.0,1000000,18970,15423
Q-10122_v2,6,5,326980.0,5577.0,1000006,23432,2070
Q-10025_v2,6,5,841932.0,232.0,1000001,15021,29
C6_role1_s,6,5,188950.0,31105.0,1000000,22995,31147
c6_pc5_s,6,5,483130.0,1687.0,1000000,10846,1688
c6_pc12_o,6,5,353124.0,14684.0,1000001,14710,9574
c6_pc9_s,6,5,482810.0,1719.0,1000000,11057,1720
c6_pc10_o,6,5,349070.0,15089.0,1000001,16944,9831
Q-10020_v4,6,5,309693.0,5130.0,1000027,23272,4353
c6_role0_o,6,5,58990.0,43436.0,1000019,33053,107982
c6_pc11_o,6,5,343286.0,15667.0,1000001,16502,10112
c6_pc3_s,6,5,483410.0,1659.0,1000000,10448,1659
SPO_s,6,5,150710.0,84929.0,1000000,11697,126712
c6_role0_s,6,5,75210.0,42480.0,1000020,27244,58578
C6_role1_o,6,5,61818.0,43363.0,1000014,31706,91703
SPO_o,6,5,148682.0,85132.0,1000002,13100,131629
c6_pc10_s,6,5,483270.0,1673.0,1000000,10211,1669
c6_pc12_s,6,5,482890.0,1711.0,1000000,10302,1709
Q-10169_v2,6,5,539995.0,4459.0,1000000,20912,411
c6_pc5_o,6,5,347462.0,15250.0,1000001,17314,9821
c6_pc9_o,6,5,355103.0,14485.0,1000000,17228,9115
Q-10078_v4,7,5,941.0,11.0,10678,282,9284
c6_pc3_o,7,5,57.0,50.0,10114,225,744
c6_pc11_s,7,5,51.0,50.0,10102,186,1713
c6_role2_o,7,5,50.0,50.0,10107,217,2613
c6_pc14_s,7,5,50.0,50.0,10100,184,2586
c6_role2_s,7,5,50.0,50.0,10100,187,21268
Q-10082_v4,7,5,605.0,11.0,10002,222,8787
Q-10122_v3,7,5,353.0,12.0,10230,188,5309
Q-1003_v2,7,5,1036.0,11.0,10033,256,3518
