query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_6731_v1,1,1,2618.0,386.0,1124.0,669.0,455.0,4206.320855614973,10000,1829,2170.2673796791446
query_6731_v1,1,2,2457.0,426.0,1217.0,731.0,486.0,4789.264957264957,10000,829,2548.290598290598
query_6731_v1,1,3,2584.0,398.0,1110.0,705.0,405.0,4360.0356037151705,10011,718,2106.2414860681115
query_6731_v1,1,4,2574.0,400.0,1161.0,690.0,471.0,4420.540792540793,10003,625,2293.04662004662
query_6731_v1,1,5,2627.0,391.0,1070.0,691.0,379.0,4174.835173201371,10009,672,1992.0822230681385
query_3841_v9,1,1,3024.0,84.0,297.0,97.0,200.0,938584.8677248678,10001,1064,3989.2453163885707
query_3841_v9,1,2,2988.0,81.0,293.0,100.0,193.0,1122615.3045515395,10001,433,3146.6318381539013
query_3841_v9,1,3,3007.0,79.0,306.0,93.0,213.0,594925.2989690722,10001,353,3286.2404666865655
query_3841_v9,1,4,2990.0,86.0,330.0,97.0,233.0,795998.5913043479,10001,334,3324.6491666513148
query_3841_v9,1,5,2961.0,85.0,317.0,97.0,220.0,897364.087808173,10006,347,3805.736505620925
query_11285_v0,1,1,3236.0,320.0,640.0,640.0,0.0,2721.4857849196537,10007,1495,2721.4857849196537
query_11285_v0,1,2,3211.0,323.0,646.0,646.0,0.0,2705.422609778885,10001,652,2705.422609778885
query_11285_v0,1,3,3227.0,319.0,638.0,638.0,0.0,2689.6919739696314,10001,649,2689.6919739696314
query_11285_v0,1,4,3168.0,327.0,654.0,654.0,0.0,2971.0492424242425,10005,509,2971.0492424242425
query_11285_v0,1,5,3138.0,334.0,668.0,668.0,0.0,3075.6902485659657,10000,518,3075.6902485659657
c6_role1_s,1,1,2500.0,2500.0,5000.0,5000.0,0.0,2840034.8688,10000,1979,31173.0
c6_role1_s,1,2,2500.0,2500.0,5000.0,5000.0,0.0,2690429.4072,10000,837,31173.0
c6_role1_s,1,3,2500.0,2500.0,5000.0,5000.0,0.0,2670266.7108,10000,786,31173.0
c6_role1_s,1,4,2500.0,2500.0,5000.0,5000.0,0.0,2748486.0024,10000,769,31173.0
c6_role1_s,1,5,2500.0,2500.0,5000.0,5000.0,0.0,2693821.0296,10000,674,31173.0
query_1710_v6,1,1,2341.0,22.0,65.0,26.0,39.0,4368.493378897907,10000,939,104.21529260999573
query_1710_v6,1,2,2377.0,19.0,56.0,20.0,36.0,3110.380311316786,10003,272,97.82583087925957
query_1710_v6,1,3,2340.0,26.0,77.0,29.0,48.0,4228.224786324787,10005,306,110.16517094017094
query_1710_v6,1,4,2346.0,19.0,57.0,19.0,38.0,3285.1283034953112,10001,236,112.11764705882354
query_1710_v6,1,5,2352.0,23.0,69.0,26.0,43.0,3631.6917517006805,10000,225,116.08609693877551
