query_name,Execution_time_1,Execution_time_2,Execution_time_3,Execution_time_4,Execution_time_5,Execution_time_6,Execution_time_7,Execution_time_8,Execution_time_9,cd_1,cd_2,cd_3,cd_4,cd_5,cd_6,cd_7,cd_8,cd_9,triple_count,?var,CD_GT,CA,RE_cd_1,RE_cd_2,RE_cd_3,RE_cd_4,RE_cd_5,RE_cd_6,RE_cd_7,RE_cd_8,RE_cd_9
query_137,339.0,1473.4,7751.0,304.4,846.2,4999.2,212.0,511.8,3150.2,202951.6,214254.0,222680.6,269425.4,224765.6,219604.8,217667.4,235786.8,218308.8,4,?x1,223432,9468982,9.166278778330765,4.107737477174264,0.3362991872247459,20.58496544810055,0.5968706362562237,1.7129148913315961,2.5800243474524716,5.529557091195526,2.292957141322645
query_138,302.6,1170.2,7596.2,266.0,711.4,5128.2,231.4,503.0,3001.6,264239.6,276843.4,278960.4,265948.8,282533.6,278211.8,307982.4,280904.4,276417.6,4,?x1,279051,11966170,5.307775281221004,0.7911098688053354,0.03246718341807652,4.69527075695841,1.2480155957154702,0.30073355766509047,10.3677822333552,0.6641796660825524,0.9436984637216936
query_145,449.2,1743.2,13131.0,274.0,760.4,5602.0,201.8,584.2,3114.0,4967555.6,4955651.6,4963622.6,4977891.8,4935421.4,4981976.8,4966629.0,4969733.0,4952437.0,3,?x1,4969877,7011884,0.04670940548428809,0.2862324359335326,0.1258461728529775,0.16126757261799063,0.693288787629948,0.24346276577870665,0.06535373008225355,0.0028974560134989256,0.3509141171904254
query_146,400.6,1571.6,11880.8,289.4,756.8,4755.6,234.4,522.6,2851.8,3276943.0,3286619.6,3286452.6,3297290.0,3282638.0,3284426.8,3432954.2,3313161.2,3298910.0,2,?x1,3286102,5523263,0.27871928503740906,0.015751184838452767,0.010669175819864787,0.3404641730536666,0.1054136481460405,0.050978332382871444,4.468887453889142,0.8234437032082444,0.38976270365314286
query_147,423.4,1815.2,14377.8,246.4,816.4,5033.6,204.6,532.0,3144.2,6402597.0,6433498.8,6446999.2,6383170.4,6432173.6,6436570.4,5966494.0,6469685.0,6442713.0,2,?x1,6446811,8501245,0.6858274579478132,0.2064927915522913,0.002919272800151676,0.9871640412600838,0.22704869120562668,0.1588475294219053,7.450458839261769,0.354811084115852,0.06356631208825572
query_150,400.8,1621.4,12858.4,244.8,788.6,4663.2,214.4,534.8,3037.8,6480585.4,6457023.4,6461518.6,6429855.6,6458849.2,6463946.8,6355886.8,6511310.0,6486672.4,2,?x1,6465182,15906835,0.23825160683798807,0.12619288985212831,0.05666352470820423,0.5464099850553376,0.09795238556315683,0.019105417295293255,1.6905200812598962,0.7134833945896651,0.33240208860323456
query_151,376.0,1857.4,13480.0,247.8,720.6,4754.2,194.4,544.8,3038.8,6458883.4,6431045.4,6442666.4,6425652.4,6432771.0,6449154.2,6231849.6,6379523.4,6437755.6,3,?x1,6443894,15860639,0.23261400637565377,0.19939185840114113,0.01905059270061903,0.28308348957943175,0.1726130193947945,0.08163076549676619,3.290625202711286,0.9989394611394854,0.09525917092988141
query_168,292.6,1281.2,7080.6,373.0,780.2,5293.2,340.8,610.6,3890.4,461464.0,424610.2,430774.6,482991.4,441093.8,443157.2,276163.8,503518.6,421273.8,4,?x1,435402,16893224,5.985732725159738,2.4785830106430353,1.062787952283183,10.929991134629612,1.307251689243501,1.781158561513271,36.57268455358496,15.644530801420292,3.2448633676464533
query_224,354.8,1652.6,12530.0,248.0,866.0,5764.6,253.8,624.2,3507.0,38.8,40.8,40.8,230.6,266.2,267.2,2509.8,2534.6,2499.0,5,?x4,2260707,18712619,99.99828372274692,99.99819525484727,99.99819525484727,99.98979965117107,99.98822492255741,99.98818068860759,99.88898163273703,99.88788463078143,99.88945935939509
query_255,418.6,1973.6,16845.2,252.2,818.6,5627.6,236.2,536.8,3077.2,36357064.4,36309544.2,36344012.4,36230392.0,36290938.6,36349249.2,36858176.0,36348479.4,36358329.0,2,?x1,36333175,36355364,0.06575092873110734,0.06503918251019081,0.029827836405705004,0.2828902236041854,0.11624747906011107,0.04424111022502983,1.4449631775918288,0.04212238539571207,0.06923149435742953
query_256,373.2,1845.0,14325.2,330.6,1007.6,5815.2,219.6,504.6,3111.0,30022018.2,29949402.4,29947716.8,29813939.6,30031407.2,29934537.2,30083254.0,29904123.0,30003799.6,3,?x1,29954929,29977745,0.22396714744341156,0.01844971824170069,0.024076838906876577,0.4706717882723024,0.2553109039250243,0.06807494018764239,0.4283936042712704,0.1696081469597207,0.1631471067749868
query_288,347.8,1352.6,9770.0,248.0,671.6,4629.4,175.2,442.0,3010.2,510118.6,508786.0,511876.6,502913.0,514574.0,511326.0,566232.6,531485.8,515073.8,4,?x1,512028,5886774,0.37290929402298767,0.6331684985977329,0.029568695461971467,1.7801760841203995,0.497238432273235,0.13710187724108838,10.586257001570223,3.800143742139111,0.5948502816252214
query_349,365.0,1584.6,11850.4,224.0,794.8,4854.6,194.6,534.6,2926.6,13185642.2,13204868.2,13216147.2,13266827.4,13210047.2,13205652.8,13189389.8,13081480.2,13211376.6,2,?x1,13210064,14699166,0.18487268494687645,0.03933213344008587,0.04604973904743576,0.4296981452928643,0.0001271757653917881,0.03339272239710008,0.1565034052825123,0.9733775703130639,0.009936363669393483
query_351,426.0,1558.6,11985.4,237.8,735.6,4619.0,207.8,532.8,2935.0,8377859.4,8368354.4,8367673.8,8350767.0,8366993.2,8364993.6,8412409.6,8384235.6,8362141.0,2,?x1,8366814,8552531,0.13201440835185738,0.018410831171822066,0.010276313062532688,0.19179343535066035,0.002141794953254444,0.021757385786278654,0.544957734210413,0.20822262811148456,0.05585160611912731
query_352,310.6,1204.6,8249.8,257.2,668.6,4265.6,175.0,460.8,2789.0,15086197.2,14267133.6,13835213.6,15642397.0,13699996.4,13619351.6,9143996.6,13689021.8,13919029.0,2,?x1,13718466,17110269,9.970001019064371,3.9994821578447595,0.8510251802205847,14.024388732676089,0.13463312880608974,0.7224889430057294,33.34534196461908,0.21463186919003374,1.461992907953411
query_391,414.4,1623.6,12198.4,248.2,803.0,4734.4,204.6,614.0,2973.4,3650729.2,3647352.6,3649119.4,3640260.4,3651250.8,3650014.2,3670806.8,3655696.4,3640556.0,2,?x1,3648766,4188680,0.05380449171035321,0.03873638375275112,0.009685466264482481,0.23310894697001924,0.06809973563664576,0.034208825668738035,0.6040617567692698,0.18993818732140966,0.2250075779044203
query_407,383.8,1382.8,9369.4,399.0,966.6,6519.0,266.0,778.2,3697.4,2201001.4,16868474.8,118207716.4,3763517.2,11473023.2,37640809.4,2989377.2,3284153.6,136367240.2,2,?x3,66053832,70135159,96.6678672026174,74.46253413428006,78.95663706535603,94.30234842393398,82.63079846752872,43.01494968528094,95.4743319055282,95.02806498796315,106.44864358512916
query_469,386.0,2705.4,12122.6,226.0,768.2,4659.8,203.8,517.0,3226.4,7304822.0,7304583.0,7304840.8,7306278.0,7304993.4,7305072.8,7306278.0,7303401.6,7305098.0,2,?x1,7304929,7369922,0.0014647644077033467,0.004736527897807083,0.0012074039323337197,0.018466983046652473,0.0008815965220246839,0.0019685338488548447,0.018466983046652473,0.020909169685295676,0.002313506400952015
query_512,334.0,1406.6,10583.6,222.4,711.6,4471.4,184.4,533.6,3086.4,3770852.2,3782476.2,3779804.4,3791152.0,3783254.0,3777431.2,3720624.0,3753502.8,3778235.2,4,?x1,3780495,4792183,0.25506712745288157,0.052405835743736896,0.018267449103889652,0.28189430220116674,0.072979861102845,0.08104229737110653,1.5836815020255284,0.7139858669301291,0.05977524107292335
query_520,439.0,1916.2,17423.8,250.2,803.6,5894.8,202.6,548.0,3199.6,34708466.2,34696648.0,34695101.4,34667255.8,34693672.4,34697257.0,34666632.4,34552213.0,34706874.2,2,?x1,34696192,34704348,0.035376216502384414,0.001314265265767494,0.003143284427298218,0.08339877759496771,0.007261892025503808,0.003069501114128029,0.08519551655697977,0.41497061118407463,0.030787816714880352
