query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_137,1,1,6814.0,217.0,434.0,434.0,0.0,1.365211801584972E7,10007,989,274493
query_137,1,2,6857.0,202.0,404.0,404.0,0.0,1.1385722178795392E7,10005,210,281580
query_137,1,3,6841.0,209.0,418.0,418.0,0.0,5798176.602835842,10014,179,143103
query_137,1,4,6916.0,195.0,390.0,390.0,0.0,5981568.619866976,10004,163,144496
query_137,1,5,6723.0,224.0,448.0,448.0,0.0,7333476.613119143,10009,154,171086
query_138,1,1,6733.0,244.0,488.0,488.0,0.0,1.2523197177335512E7,10011,893,275638
query_138,1,2,6746.0,240.0,480.0,480.0,0.0,9977898.515416544,10003,227,242714
query_138,1,3,6693.0,249.0,499.0,497.0,2.0,9979997.04392649,10015,141,239760
query_138,1,4,6617.0,264.0,528.0,528.0,0.0,1.127192305878797E7,10005,131,323112
query_138,1,5,6577.0,263.0,526.0,526.0,0.0,1.0452539365972327E7,10004,121,239974
query_145,1,1,2276.0,1549.0,3098.0,3098.0,0.0,6972423.469244288,10025,1176,4972506
query_145,1,2,2291.0,1547.0,3094.0,3094.0,0.0,6904448.655608905,10031,373,4931977
query_145,1,3,2271.0,1551.0,3102.0,3102.0,0.0,7019946.541611625,10030,324,4988280
query_145,1,4,2277.0,1550.0,3100.0,3100.0,0.0,6985405.009222661,10032,200,4970323
query_145,1,5,2275.0,1549.0,3098.0,3098.0,0.0,6795641.427692308,10024,173,4974692
query_146,1,1,2785.0,2412.0,4824.0,4824.0,0.0,5534924.561579892,10021,1051,3255728
query_146,1,2,2793.0,2407.0,4814.0,4814.0,0.0,5520537.914786967,10014,347,3247234
query_146,1,3,2772.0,2413.0,4826.0,4826.0,0.0,5492886.101010101,10011,234,3283660
query_146,1,4,2763.0,2418.0,4836.0,4836.0,0.0,5540437.9703221135,10017,209,3282517
query_146,1,5,2762.0,2419.0,4838.0,4838.0,0.0,5570630.868935554,10019,162,3315576
query_147,1,1,2511.0,2503.0,5006.0,5006.0,0.0,8504265.966148945,10020,1176,6381539
query_147,1,2,2513.0,2500.0,5000.0,5000.0,0.0,8487312.972542778,10013,318,6409394
query_147,1,3,2514.0,2503.0,5006.0,5006.0,0.0,8494117.677406523,10023,242,6422489
query_147,1,4,2512.0,2500.0,5000.0,5000.0,0.0,8490691.679936307,10012,215,6457029
query_147,1,5,2512.0,2500.0,5000.0,5000.0,0.0,8490691.679936307,10012,166,6342534
query_150,1,1,2510.0,2504.0,5008.0,5008.0,0.0,1.6039800156573705E7,10022,1047,6485788
query_150,1,2,2510.0,2504.0,5011.0,5007.0,4.0,1.6311718786055777E7,10024,419,6529472
query_150,1,3,2507.0,2502.0,5008.0,5003.0,5.0,1.6021560620662145E7,10016,192,6425075
