query, nbtp,count,countime,var,dv,df,timedv,timedf
data:{'head': {'vars': ['cdo']}, 'results': {'bindings': [{'cdo': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '1005832'}}]}}, time:178.8253607749939,,,,
data:{'head': {'vars': ['cdp']}, 'results': {'bindings': [{'cdp': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '86'}}]}}, time:129.9753270149231,,,,
data:{'head': {'vars': ['cds']}, 'results': {'bindings': [{'cds': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '521585'}}]}}, time:116.92363214492798,,,,
data:{'head': {'vars': ['cdp']}, 'results': {'bindings': [{'cdp': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '18'}}]}}, time:9.411717176437378,,,,
data:{'head': {'vars': ['cds']}, 'results': {'bindings': [{'cds': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '31173'}}]}}, time:10.160372018814087,,,,
data:{'head': {'vars': ['cdo']}, 'results': {'bindings': [{'cdo': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '204871'}}]}}, time:12.094146013259888,,,,
data:{'head': {'vars': ['cdo']}, 'results': {'bindings': [{'cdo': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '15392'}}]}}, time:0.16980910301208496,,,,
data:{'head': {'vars': ['cds']}, 'results': {'bindings': [{'cds': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '1687'}}]}}, time:0.15315485000610352,,,,
data:{'head': {'vars': ['cdp']}, 'results': {'bindings': [{'cdp': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '13'}}]}}, time:0.14227795600891113,,,,
data:{'head': {'vars': ['cdv4']}, 'results': {'bindings': [{'cdv4': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '11735'}}]}}, time:107.62063002586365,,,,
data:{'head': {'vars': ['cdv6']}, 'results': {'bindings': [{'cdv6': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '9'}}]}}, time:76.70600199699402,,,,
data:{'head': {'vars': ['cdv8']}, 'results': {'bindings': [{'cdv8': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '70'}}]}}, time:82.03680896759033,,,,
data:{'head': {'vars': ['cdv2']}, 'results': {'bindings': [{'cdv2': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '169'}}]}}, time:56.6814329624176,,,,
data:{'head': {'vars': ['cdv3']}, 'results': {'bindings': [{'cdv3': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '119'}}]}}, time:59.62731122970581,,,,
data:{'head': {'vars': ['cdv1']}, 'results': {'bindings': [{'cdv1': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '680'}}]}}, time:49.50559115409851,,,,
data:{'head': {'vars': ['cdv0']}, 'results': {'bindings': [{'cdv0': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '858'}}]}}, time:33.67358708381653,,,,
data:{'head': {'vars': ['cdv7']}, 'results': {'bindings': [{'cdv7': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '25'}}]}}, time:38.327911138534546,,,,
data:{'head': {'vars': ['cds']}, 'results': {'bindings': [{'cds': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '1719'}}]}}, time:0.05775117874145508,,,,
data:{'head': {'vars': ['cdp']}, 'results': {'bindings': [{'cdp': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '13'}}]}}, time:0.06416487693786621,,,,
data:{'head': {'vars': ['cdo']}, 'results': {'bindings': [{'cdo': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '14598'}}]}}, time:0.049713134765625,,,,
data:{'head': {'vars': ['cdv1']}, 'results': {'bindings': [{'cdv1': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '122'}}]}}, time:1.0986328125,,,,
data:{'head': {'vars': ['cdv6']}, 'results': {'bindings': [{'cdv6': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '17'}}]}}, time:1.2370011806488037,,,,
data:{'head': {'vars': ['cdv8']}, 'results': {'bindings': [{'cdv8': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '68'}}]}}, time:0.8516299724578857,,,,
data:{'head': {'vars': ['cdv2']}, 'results': {'bindings': [{'cdv2': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '14886'}}]}}, time:1.3289847373962402,,,,
data:{'head': {'vars': ['cdv5']}, 'results': {'bindings': [{'cdv5': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '9'}}]}}, time:1.8404271602630615,,,,
data:{'head': {'vars': ['cdv0']}, 'results': {'bindings': [{'cdv0': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '17'}}]}}, time:1.974410057067871,,,,
data:{'head': {'vars': ['cdv4']}, 'results': {'bindings': [{'cdv4': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '36'}}]}}, time:1.744330883026123,,,,
data:{'head': {'vars': ['cdv7']}, 'results': {'bindings': [{'cdv7': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '17'}}]}}, time:1.7323248386383057,,,,
data:{'head': {'vars': ['cdv2']}, 'results': {'bindings': [{'cdv2': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '14818'}}]}}, time:0.6709020137786865,,,,
data:{'head': {'vars': ['cdv0']}, 'results': {'bindings': [{'cdv0': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '13'}}]}}, time:0.8749830722808838,,,,
data:{'head': {'vars': ['cdv1']}, 'results': {'bindings': [{'cdv1': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '111'}}]}}, time:1.2627449035644531,,,,
data:{'head': {'vars': ['cdv8']}, 'results': {'bindings': [{'cdv8': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '32'}}]}}, time:0.7243766784667969,,,,
data:{'head': {'vars': ['cdv4']}, 'results': {'bindings': [{'cdv4': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '36'}}]}}, time:1.6052958965301514,,,,
data:{'head': {'vars': ['cdv5']}, 'results': {'bindings': [{'cdv5': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '8'}}]}}, time:1.0558860301971436,,,,
data:{'head': {'vars': ['cdv7']}, 'results': {'bindings': [{'cdv7': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '13'}}]}}, time:1.1015057563781738,,,,
data:{'head': {'vars': ['cdv6']}, 'results': {'bindings': [{'cdv6': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '13'}}]}}, time:1.2655339241027832,,,,
data:{'head': {'vars': ['cdv6']}, 'results': {'bindings': [{'cdv6': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '206'}}]}}, time:0.24840712547302246,,,,
data:{'head': {'vars': ['cdv1']}, 'results': {'bindings': [{'cdv1': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '4'}}]}}, time:0.09776997566223145,,,,
data:{'head': {'vars': ['cdv7']}, 'results': {'bindings': [{'cdv7': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '536'}}]}}, time:0.16969776153564453,,,,
data:{'head': {'vars': ['cdv5']}, 'results': {'bindings': [{'cdv5': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '7'}}]}}, time:0.12244081497192383,,,,
data:{'head': {'vars': ['cdv4']}, 'results': {'bindings': [{'cdv4': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '4'}}]}}, time:0.2638130187988281,,,,
data:{'head': {'vars': ['cdv0']}, 'results': {'bindings': [{'cdv0': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '4'}}]}}, time:0.10217428207397461,,,,
data:{'head': {'vars': ['cdv3']}, 'results': {'bindings': [{'cdv3': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '4'}}]}}, time:0.2458178997039795,,,,
data:{'head': {'vars': ['cdv5']}, 'results': {'bindings': [{'cdv5': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '171'}}]}}, time:160.52202701568604,,,,
data:{'head': {'vars': ['cdv6']}, 'results': {'bindings': [{'cdv6': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '121'}}]}}, time:134.22046995162964,,,,
data:{'head': {'vars': ['cdv8']}, 'results': {'bindings': [{'cdv8': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '25'}}]}}, time:105.50732421875,,,,
data:{'head': {'vars': ['cdv7']}, 'results': {'bindings': [{'cdv7': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '9'}}]}}, time:47.4971079826355,,,,
data:{'head': {'vars': ['cdv0']}, 'results': {'bindings': [{'cdv0': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '680'}}]}}, time:23.412484169006348,,,,
data:{'head': {'vars': ['cdv2']}, 'results': {'bindings': [{'cdv2': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '7272'}}]}}, time:16.079905033111572,,,,
data:{'head': {'vars': ['cdv4']}, 'results': {'bindings': [{'cdv4': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '1000'}}]}}, time:16.380362033843994,,,,
data:{'head': {'vars': ['cdv3']}, 'results': {'bindings': [{'cdv3': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '6346'}}]}}, time:15.55135703086853,,,,
data:{'head': {'vars': ['cdp']}, 'results': {'bindings': [{'cdp': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '19'}}]}}, time:0.10471034049987793,,,,
data:{'head': {'vars': ['cds']}, 'results': {'bindings': [{'cds': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '1659'}}]}}, time:0.09945416450500488,,,,
data:{'head': {'vars': ['cdo']}, 'results': {'bindings': [{'cdo': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '19934'}}]}}, time:0.09612178802490234,,,,
data:{'head': {'vars': ['cdo']}, 'results': {'bindings': [{'cdo': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '15843'}}]}}, time:0.11992788314819336,,,,
data:{'head': {'vars': ['cds']}, 'results': {'bindings': [{'cds': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '1686'}}]}}, time:0.05234575271606445,,,,
data:{'head': {'vars': ['cdp']}, 'results': {'bindings': [{'cdp': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '13'}}]}}, time:0.08118414878845215,,,,
data:{'head': {'vars': ['cdv4']}, 'results': {'bindings': [{'cdv4': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '4205'}}]}}, time:43.82090401649475,,,,
data:{'head': {'vars': ['cdv1']}, 'results': {'bindings': [{'cdv1': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '680'}}]}}, time:80.23182892799377,,,,
data:{'head': {'vars': ['cdv7']}, 'results': {'bindings': [{'cdv7': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '25'}}]}}, time:63.626420974731445,,,,
data:{'head': {'vars': ['cdv0']}, 'results': {'bindings': [{'cdv0': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '858'}}]}}, time:31.28237795829773,,,,
data:{'head': {'vars': ['cdv6']}, 'results': {'bindings': [{'cdv6': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '9'}}]}}, time:44.47688889503479,,,,
data:{'head': {'vars': ['cdv2']}, 'results': {'bindings': [{'cdv2': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '169'}}]}}, time:49.27266311645508,,,,
data:{'head': {'vars': ['cdv8']}, 'results': {'bindings': [{'cdv8': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '70'}}]}}, time:42.64828705787659,,,,
data:{'head': {'vars': ['cdv3']}, 'results': {'bindings': [{'cdv3': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '119'}}]}}, time:56.929872035980225,,,,
data:{'head': {'vars': ['cdv7']}, 'results': {'bindings': [{'cdv7': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '25'}}]}}, time:61.117764949798584,,,,
data:{'head': {'vars': ['cdv0']}, 'results': {'bindings': [{'cdv0': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '858'}}]}}, time:91.4894950389862,,,,
data:{'head': {'vars': ['cdv3']}, 'results': {'bindings': [{'cdv3': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '119'}}]}}, time:42.28545689582825,,,,
data:{'head': {'vars': ['cdv6']}, 'results': {'bindings': [{'cdv6': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '9'}}]}}, time:30.826270818710327,,,,
data:{'head': {'vars': ['cdv4']}, 'results': {'bindings': [{'cdv4': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '6189'}}]}}, time:71.25741410255432,,,,
data:{'head': {'vars': ['cdv1']}, 'results': {'bindings': [{'cdv1': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '680'}}]}}, time:39.555800676345825,,,,
data:{'head': {'vars': ['cdv2']}, 'results': {'bindings': [{'cdv2': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '169'}}]}}, time:48.47658896446228,,,,
data:{'head': {'vars': ['cdv8']}, 'results': {'bindings': [{'cdv8': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '70'}}]}}, time:46.34526705741882,,,,
data:{'head': {'vars': ['cds']}, 'results': {'bindings': [{'cds': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '58629'}}]}}, time:20.930577754974365,,,,
data:{'head': {'vars': ['cdo']}, 'results': {'bindings': [{'cdo': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '402344'}}]}}, time:34.039493799209595,,,,
data:{'head': {'vars': ['cdp']}, 'results': {'bindings': [{'cdp': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '18'}}]}}, time:67.69933700561523,,,,
data:{'head': {'vars': ['cdo']}, 'results': {'bindings': [{'cdo': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '176446'}}]}}, time:12.224189043045044,,,,
data:{'head': {'vars': ['cds']}, 'results': {'bindings': [{'cds': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '21268'}}]}}, time:12.108550071716309,,,,
data:{'head': {'vars': ['cdp']}, 'results': {'bindings': [{'cdp': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '18'}}]}}, time:30.91975688934326,,,,
data:{'head': {'vars': ['cds']}, 'results': {'bindings': [{'cds': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '2586'}}]}}, time:0.1288759708404541,,,,
data:{'head': {'vars': ['cdp']}, 'results': {'bindings': [{'cdp': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '13'}}]}}, time:0.11295509338378906,,,,
data:{'head': {'vars': ['cdo']}, 'results': {'bindings': [{'cdo': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '22413'}}]}}, time:0.16232824325561523,,,,
data:{'head': {'vars': ['cdp']}, 'results': {'bindings': [{'cdp': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '13'}}]}}, time:0.16737580299377441,,,,
data:{'head': {'vars': ['cdo']}, 'results': {'bindings': [{'cdo': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '15258'}}]}}, time:0.19499707221984863,,,,
